1.18547E+17,SBI-HYD-Civil Court Chetta Bazar,Lobby Camera 1,IVIS2472C1,SBI-HYD,5/12/2019 10:41,Team Member,Metal_UPS,False Activity,0d 0h 0m 14s
1.18547E+17,Central Bank ZO Bhopal-POC,Cam15,IVISC001C8,CBI-POC,5/12/2019 10:40,Team Member,Camera Event,Guard/Staff On Site,0d 0h 0m 16s
1.18547E+17,JSFB-PB-Bathinda-Rampura Phul,Bank Teller & Bank Vault,IVIS10703C3,JFS,5/12/2019 10:40,Team Member,Camera Event,False Activity,0d 0h 0m 14s
1.18547E+17,CBI-MP-Indore-Shivgarh Onsite,Lobby,IVIS5727C1,CBI,5/12/2019 10:40,Team Member,GUARD_TOUR,ATM Transaction,0d 0h 0m 22s
1.18547E+17,BOB-RJ-Karauli-Shri Mahaveerji Onsite,Pinhole,IVIS8734C2,BOB,5/12/2019 10:40,Team Member,Glass Break Sensor,ATM Transaction,0d 0h 0m 20s
1.18547E+17,IDFC-BP-MH-Mumbai-Bandra West-30th Road,Main Entrance,IVIS8338C8,IDFC,5/12/2019 10:40,Team Member,Camera Event,Guard/Staff On Site,0d 0h 0m 23s
1.18547E+17,BOB-AP-Amalapuram-Kothapeta HPCL Onsite,Lobby,IVIS7224C1,BOB,5/12/2019 10:40,Team Member,ATM1 Chest Door Sensor,False Activity,0d 0h 0m 16s
1.18547E+17,SBI-AHMD Navjivan Hou Soc Vadodara,Lobby Camera 1,IVIS2992C1,SBI-AHD,5/12/2019 10:40,Team Member,GUARD_TOUR,ATM Transaction,0d 0h 0m 18s
1.18547E+17,SBI-Bhopal-HPCL Raisen Road,Lobby Camera 2,IVIS3416C2,SBI-Bhopal,5/12/2019 10:40,Team Member,GUARD_TOUR,ATM Transaction,0d 0h 0m 17s
1.18547E+17,JFS-CG-Raigarh-Dhimrapur Road,Shutter/ATM Lobby,IVIS5545C4,JFS,5/12/2019 10:40,Team Member,Camera Event,False Activity,0d 0h 0m 18s
1.18547E+17,IDFC-BP-MH-Thane Ram Maruti Road,ATM Lobby,IVIS8337C2,IDFC,5/12/2019 10:40,Team Member,Camera Event,Guard/Staff on site,0d 0h 0m 28s
